file,tau,flip
BRATS_006.nii.gz,0.4000,0.3000
BRATS_011.nii.gz,0.0000,0.5000
BRATS_014.nii.gz,0.6000,0.2000
BRATS_022.nii.gz,0.6000,0.2000
BRATS_029.nii.gz,0.2000,0.4000
BRATS_040.nii.gz,0.4000,0.3000
BRATS_064.nii.gz,0.4000,0.3000
BRATS_070.nii.gz,0.0000,0.5000
BRATS_072.nii.gz,0.2000,0.4000
BRATS_075.nii.gz,-0.2000,0.6000
BRATS_079.nii.gz,0.4000,0.3000
BRATS_086.nii.gz,0.4000,0.3000
BRATS_088.nii.gz,0.4000,0.3000
BRATS_091.nii.gz,0.2000,0.4000
BRATS_100.nii.gz,0.6000,0.2000
BRATS_104.nii.gz,0.6000,0.2000
BRATS_107.nii.gz,0.6000,0.2000
BRATS_112.nii.gz,0.0000,0.5000
BRATS_115.nii.gz,0.8000,0.1000
BRATS_117.nii.gz,0.2000,0.4000
BRATS_118.nii.gz,-0.8000,0.9000
BRATS_124.nii.gz,0.4000,0.3000
BRATS_126.nii.gz,1.0000,0.0000
BRATS_143.nii.gz,0.0000,0.5000
BRATS_158.nii.gz,0.4000,0.3000
BRATS_171.nii.gz,0.2000,0.4000
BRATS_178.nii.gz,0.2000,0.4000
BRATS_188.nii.gz,0.8000,0.1000
BRATS_189.nii.gz,0.6000,0.2000
BRATS_190.nii.gz,0.6000,0.2000
BRATS_200.nii.gz,0.8000,0.1000
BRATS_207.nii.gz,-0.2000,0.6000
BRATS_210.nii.gz,0.2000,0.4000
BRATS_219.nii.gz,0.8000,0.1000
BRATS_221.nii.gz,1.0000,0.0000
BRATS_222.nii.gz,-0.4000,0.7000
BRATS_224.nii.gz,-0.2000,0.6000
BRATS_225.nii.gz,-0.8000,0.9000
BRATS_267.nii.gz,-0.4000,0.7000
BRATS_275.nii.gz,0.0000,0.5000
BRATS_278.nii.gz,0.8000,0.1000
BRATS_279.nii.gz,-0.4000,0.7000
BRATS_302.nii.gz,0.2000,0.4000
BRATS_330.nii.gz,0.0000,0.5000
BRATS_333.nii.gz,0.6000,0.2000
BRATS_340.nii.gz,-0.2000,0.6000
BRATS_348.nii.gz,0.8000,0.1000
BRATS_350.nii.gz,0.2000,0.4000
BRATS_352.nii.gz,0.6000,0.2000
BRATS_360.nii.gz,1.0000,0.0000
BRATS_369.nii.gz,0.6000,0.2000
BRATS_373.nii.gz,0.0000,0.5000
BRATS_382.nii.gz,0.2000,0.4000
BRATS_386.nii.gz,0.6000,0.2000
BRATS_389.nii.gz,0.6000,0.2000
BRATS_391.nii.gz,-1.0000,1.0000
BRATS_396.nii.gz,0.6000,0.2000
BRATS_400.nii.gz,0.8000,0.1000
BRATS_405.nii.gz,0.6000,0.2000
BRATS_410.nii.gz,0.2000,0.4000
BRATS_414.nii.gz,0.8000,0.1000
BRATS_418.nii.gz,0.8000,0.1000
BRATS_427.nii.gz,0.8000,0.1000
BRATS_429.nii.gz,0.4000,0.3000
BRATS_437.nii.gz,1.0000,0.0000
BRATS_444.nii.gz,0.6000,0.2000
BRATS_446.nii.gz,0.4000,0.3000
BRATS_449.nii.gz,0.8000,0.1000
BRATS_460.nii.gz,0.0000,0.5000
BRATS_467.nii.gz,0.6000,0.2000
BRATS_477.nii.gz,1.0000,0.0000
